parlamentarier_anzeige_name	parlamentarier_id	parlamentarier_rat	parlamentarier_kanton	parlamentarier_partei_de	parlamentarier_fraktion	parlamentarier_kommissionen	parlamentarier_im_rat_seit	parlamentarier_im_rat_bis	parlamentarier_geschlecht	parlamentarier_geburtstag	parlamentarier_parlament_biografie_id	parlamentarier_parlament_number	parlamentarier_sprache	parlamentarier_arbeitssprache	zutrittsberechtigung_id	zutrittsberechtigung_funktion	zutrittsberechtigung_funktion_fr	zutrittsberechtigung_von	zutrittsberechtigung_bis	person_id	person_nachname	person_vorname	person_zweiter_vorname	person_namensunterscheidung	person_beschreibung_de	person_beschreibung_fr	person_beruf	person_beruf_fr	person_beruf_interessengruppe_id	person_partei_id	person_geschlecht	person_arbeitssprache	person_homepage	person_twitter_name	person_linkedin_profil_url	person_xing_profil_name	person_facebook_name
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	1120	"Collaborateur(rice) personnel(le)"		2019-12-16		478	"Mayer"	"Patrick"				"Ancien directeur de l'Office de promotion des industries et des technologies, ancien membre de la Direction de la Chambre de commerce, d'industrie et des services de Genève."	"Verwalter, Berater"	"Administrateur, Conseiller"	19	5	"M"	"fr"			"https://ch.linkedin.com/pub/patrick-mayer/78/a01/799"		
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	552	"Gast"				494	"Perroud"	"Bruno"					"Directeur Association cerebral valais"		15	5	"M"	"fr"					
"Aebi, Andreas"	39	"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"	739	"Persönliche/r Mitarbeiter/in"		2016-06-21		597	"Wyss"	"Andreas"					"Gemeinderatspräsident Kirchberg BE"		85	1	"M"	"de"					"andreas.wyss.77"
"Aebi, Andreas"	39	"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"	1251	"Gast"		2020-12-19		929	"Aebi-Keller"	"Dorothea"			"Gast"		"Kaufmännische Angestellte, Bäuerin"		85	5	"F"	"de"					
"Aebischer, Matthias"	40	"NR"	"BE"	"SP"	"S"	"GK-V, KVF-NR, WBK-NR"	2011-12-05		"M"	1967-10-18	4049	2760	"de"	"de"	1024	"Pro Velo Schweiz"		2019-12-03		60	"Merkli"	"Christoph"			"Leiter Infrastruktur und Politik bei Pro Velo\nSchweiz"	"Responsable des infrastructures et de la politique"	"Geograph"	"Géographe"	43	4	"M"	"de"		"MerkliChristop"		"Christoph_Merkli"	"christoph.merkli.7"
"Aebischer, Matthias"	40	"NR"	"BE"	"SP"	"S"	"GK-V, KVF-NR, WBK-NR"	2011-12-05		"M"	1967-10-18	4049	2760	"de"	"de"	63	"Bildungsorganisation savoirsuisse"				68	"Bütikofer"	"Etienne"			"Berufsverband Bildung"		"Dozent, Bildungsberater"	"Maître de conférences, Consultant en formation"	41		"M"	"de"	"http://www.buerofuerbildungsfragen.ch"		"https://ch.linkedin.com/pub/etienne-bütikofer/a4/81/b7b"		
"Aeschi, Thomas"	41	"NR"	"ZG"	"SVP"	"V"	"Bü-NR, EFTA/EU, GK-V, SGK-NR, WAK-NR"	2011-12-05		"M"	1979-01-13	4053	2758	"de"	"de"																							
"Amaudruz, Céline"	44	"NR"	"GE"	"SVP"	"V"	"SGK-NR, WAK-NR"	2011-12-05		"F"	1979-03-15	4090	2796	"fr"	"fr"	963	"Invité(e)"		2019-12-02		149	"Schurch"	"Florence"			"Swiss Trading & Shipping Association"		"Generalsekretärin Swiss Trading & Shipping Association"	"Secrétaire générale Swiss Trading & Shipping Association"	108	1	"F"	"fr"		"frspublic"	"https://ch.linkedin.com/pub/florence-schurch/7/51/415"		
"Amaudruz, Céline"	44	"NR"	"GE"	"SVP"	"V"	"SGK-NR, WAK-NR"	2011-12-05		"F"	1979-03-15	4090	2796	"fr"	"fr"	1085	"Centre Patronal"		2019-12-05		234	"Eperon"	"Patrick"	"Olivier"		"Centre Patronal"		"Delegate communication & political campaigns / Issue Manager mobility"	"Delegate communication & political campaigns / Issue Manager mobility"	59		"M"	"fr"		"EperonPatrick"			
"Amoos, Emmanuel"	428	"NR"	"VS"	"SP"	"S"	"WBK-NR"	2021-06-01		"M"	1980-07-31	4320	3217	"fr"	"fr"																							
"Andrey, Gerhard"	371	"NR"	"FR"	"Grüne"	"G"	"Bü-NR, FK-NR"	2019-10-20		"M"	1976-01-21	4245	3137	"de"	"de"																							
"Arslan, Sibel"	264	"NR"	"BS"	"BastA"	"G"	"APK-NR, APK-NS 20-30, ERD-V, GK-V, RK-NR"	2015-11-30		"F"	1980-06-23	4184	3058	"tr"	"de"	1240	"Schweizerische Flüchtlingshilfe SFH"		2020-10-30		701	"Meier"	"Peter"			"Schweizerische Flüchtlingshilfe SFH"		"Leiter Asylpolitik bei der Schweizerischen Flüchtlingshilfe"	"responsable de la politique d'asile au sein de l'Organisation suisse d'aide aux réfugiés"	24		"M"	"de"		"bernpem"	"https://www.linkedin.com/in/peter-meier-10917a19/?originalSubdomain=ch"		
"Arslan, Sibel"	264	"NR"	"BS"	"BastA"	"G"	"APK-NR, APK-NS 20-30, ERD-V, GK-V, RK-NR"	2015-11-30		"F"	1980-06-23	4184	3058	"tr"	"de"	1241	"Gast"		2020-10-30																			
"Atici, Mustafa"	368	"NR"	"BS"	"SP"	"S"	"WBK-NR"	2019-10-20		"M"	1969-10-02	4304	3201	"tr"	"de"	1280	"Travail.Suisse, Leiter Bildungspolitik"		2021-06-12		426	"Fischer"	"Gabriel"			"Leiter Bildungspolitik, Travaille Suisse"		"Leiter Bildungspolitik, Travaille Suisse"		53		"M"	"de"	"https://www.travailsuisse.ch/de/about/geschaeftsleitung-und-geschaeftsstelle"				
"Atici, Mustafa"	368	"NR"	"BS"	"SP"	"S"	"WBK-NR"	2019-10-20		"M"	1969-10-02	4304	3201	"tr"	"de"	1287	"Persönliche/r Mitarbeiter/in"		2021-08-06		959	"Hug"	"Peter"			"Persönliche/r Mitarbeiter/in"		"pensioniert"	"retraité"	20	3	"M"	"de"					
"Badertscher, Christine"	355	"NR"	"BE"	"Grüne"	"G"	"APK-NR, FK-NR, IPU, OSZE"	2019-12-01		"F"	1982-01-11	4246	3138	"de"	"de"	1134	"Plattform Agenda 2030"		2020-02-09		437	"Schmassmann"	"Eva"					"Development Policy bei Alliance Sud"		68	3	"F"	"de"		"evaschmassmann"	"https://www.linkedin.com/in/eva-schmassmann-192400"		
"Badertscher, Christine"	355	"NR"	"BE"	"Grüne"	"G"	"APK-NR, FK-NR, IPU, OSZE"	2019-12-01		"F"	1982-01-11	4246	3138	"de"	"de"	1133	"Ökostrom Schweiz"		2020-02-09		851	"Thomas"	"Fabienne"			"Ökostrom Schweiz"		"Leiterin Bereich Politik und Beteiligungen, Mitglied der GL bei Ökostrom Schweiz"		32		"F"	"de"	"https://oekostromschweiz.ch/ueber-uns/vorstand-geschaeftsleitung-team/"		"https://www.linkedin.com/in/fabienne-thomas-10850b31/"		"fabienne.thomas.737"
"Badran, Jacqueline"	49	"NR"	"ZH"	"SP"	"S"	"APK-NR, WAK-NR"	2011-12-05		"F"	1961-11-12	4058	2762	"de"	"de"	245	"Wohnbaugenosschenschaften Schweiz"				253	"Keller"	"Ulrich"			"Wohnbaugenossenschaften Schweiz"		"Architekt"		51	3	"M"	"de"	"www.ueli-keller.ch"				
"Badran, Jacqueline"	49	"NR"	"ZH"	"SP"	"S"	"APK-NR, WAK-NR"	2011-12-05		"F"	1961-11-12	4058	2762	"de"	"de"	387	"ASLOCA"				396	"Zwahlen"	"Pierre"			"Schweizerischer Mieterinnen- und Mieterverband (SMV)"		"Mitglied Grosser Rat Waadt"	"Membre du Grand Conseil Etat de Vaud"	98	3	"M"	"fr"	"https://www.vd.ch/toutes-les-autorites/grand-conseil/depute-e-s/membre-du-grand-conseil/id/20925/"				
"Barrile, Angelo"	265	"NR"	"ZH"	"SP"	"S"	"Del I-V, GPK-NR, SPK-NR"	2015-11-30		"M"	1976-08-22	4203	3104	"de"	"de"	557	"Persönlicher Mitarbeiter"		2015-12-15		498	"Helfenstein"	"Urs"					"Japanologe, Mittelschullehrer, Bankangestellter"		41	3	"M"	"de"			"uhelfenstein"		"uhelfenstein"
"Barrile, Angelo"	265	"NR"	"ZH"	"SP"	"S"	"Del I-V, GPK-NR, SPK-NR"	2015-11-30		"M"	1976-08-22	4203	3104	"de"	"de"	1025	"Pink Cross"		2019-12-03		704	"Heggli"	"Roman"			"Pinkcross"		"Geschäftsleiter Pink Cross"	"Directeur Pink Cross"	67		"M"	"de"	"http://www.pinkcross.ch"				
"Bauer, Philippe"	266	"SR"	"NE"	"FDP"	"RL"	"APF-V, GPDel-V, GPK-SR, RedK-V, RK-SR, SPK-SR"	2015-11-30		"M"	1962-04-09	4187	3059	"fr"	"fr"	676	"Suissetec"		2016-03-01		568	"Moret"	"Alfred"	"""Freddy"""				"Leiter Sekretariat Romandie Suissetec"	"Responsable du secrétariat romand Suissetec"	52		"M"	"fr"		"alfdegru"	"https://www.linkedin.com/in/freddy-moret-80b34a74"		
"Bauer, Philippe"	266	"SR"	"NE"	"FDP"	"RL"	"APF-V, GPDel-V, GPK-SR, RedK-V, RK-SR, SPK-SR"	2015-11-30		"M"	1962-04-09	4187	3059	"fr"	"fr"	1078	"Swiss Leading Hospitals"		2019-12-03		570	"Castelli"	"Nello"					"Generalsekretär Swiss Medical Network"	"Secrétaire général Swiss Medical Network"	5		"M"	"de"		"nellocastelli"		"Nello_Castelli"	
"Baumann, Kilian"	358	"NR"	"BE"	"Grüne"	"G"	"WAK-NR"	2019-12-01		"M"	1980-12-14	4247	3139	"de"	"de"	1135	"Persönliche/r Mitarbeiter/in"		2020-02-09		852	"Steiner"	"Carlo"			"Persönliche/r Mitarbeiter/in"		"Wissenschaftlicher Mitarbeiter am Amt für Volksschulen des Kantons Basel-Landschaft"	"Collaborateur scientifique au Service de l'enseignement obligatoire BL"	13		"M"	"de"					
